statement_edition,statement_source,statement_text
"on Thursday, October 6th, 2016",Lesley Cohen,"""It’s bad enough that (Stephen) Silberkraus appeared in a sexual fetish film where women were kidnapped from their homes and forced to live naked in kennels and trained to be pets. But when Silberkraus isn’t acting in films that degrade women, he’s stalking them in his personal time.""
"
"on Thursday, October 6th, 2016", National Republican Senatorial Committee,"Maggie Hassan ""raised tuition, making it the highest in America.""
"
"on Thursday, October 6th, 2016",Colin Van Ostern,"As a result of Chris Sununu’s vote against a Planned Parenthood contract, ""nearly 3,000 fewer"" women and families statewide accessed health care for birth control, cancer screenings and annual exams.
"
"on Wednesday, October 5th, 2016",Citizens for Michael McAuliffe  and House Republican Organization,"Mike Madigan made a fortune on tax appeals… Saving his friends millions... It’s an inside game played by people like Merry Marwig, Madigan’s hand-picked candidate. When Marwig thought her property taxes were too high she got them lowered at your expense. Saved so much she did it again. Marwig and Madigan: Profiting from the same corrupt system.
"
"on Wednesday, October 5th, 2016",Mike Pence,"Says Donald Trump ""never said that"" more nations should get nuclear weapons.
"
"on Wednesday, October 5th, 2016",Mike Pence,"Says Hillary Clinton and Tim Kaine ""want to expand (Obamacare) into a single-payer program.""
"
"on Wednesday, October 5th, 2016",Tim Kaine,"Donald Trump would ""engage in a risky scheme to privatize Social Security.""
"
"on Tuesday, October 4th, 2016",Mike Pence,"Says ""Iraq has been overrun by ISIS because Hillary Clinton failed to renegotiate . . . a status of forces agreement.""
"
"on Sunday, October 2nd, 2016",Hillary Clinton,"The Great Recession emerged ""in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm.""
"
"on Sunday, October 2nd, 2016",Rudy Giuliani,"Says Hillary Clinton has ""taken hundreds of millions from those countries"" where ""women are stoned, where women are killed for adultery and women can't drive.""
"
"on Friday, September 30th, 2016",Arizonans  for Responsible Drug Policy,"Says Proposition 205 ""blocks market entry"" for new marijuana dispensaries.
"
"on Friday, September 30th, 2016",Donald Trump,"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia.""

 
"
"on Thursday, September 29th, 2016", Democratic Congressional Campaign Committee,"Says Miami Congressman Carlos ""Curbelo supports drilling offshore"" and ""repeatedly voted against President Obama's ability to fight pollution and combat climate change.""
"
"on Thursday, September 29th, 2016",Dan Flynn,"""Not one illness has been reported from raw milk in"" Texas ""in more than four years. A total of six illnesses have occurred in the last 20 years.""
"
"on Wednesday, September 28th, 2016", National Republican Congressional Committee,"Says Colorado Democratic congressional candidate Morgan Carroll ""racked up $11 billion in new spending"" in the state Legislature.
"
"on Wednesday, September 28th, 2016",Donald Trump,"Says ""no, you’re wrong,"" responding to the assertion that stop-and-frisk was ruled unconstitutional in New York.
"
"on Wednesday, September 28th, 2016",Tammy Duckworth ,"""Republican Mark Kirk is outsourcing his campaign to a Super PAC funded almost exclusively by a bunch of hedge fund billionaires. ... I don’t have a Super PAC.""
"
"on Wednesday, September 28th, 2016",Stop 57 campaign,"""Brock Turner’s early release will be a regular occurrence if Prop. 57 passes.""
"
"on Tuesday, September 27th, 2016",Donald Trump,"In New York City, ""murders are up.""
"
"on Tuesday, September 27th, 2016",Hillary Clinton,"""The only years that anybody's ever seen"" of Donald Trump’s tax returns ""showed he didn't pay any federal income tax.""
"
"on Monday, September 26th, 2016",Donald Trump,"""I did not — I did not — I do not say that. I do not say that"" climate change is a hoax perpetrated by the Chinese.
"
"on Thursday, September 22nd, 2016",Patrick Murphy,"Says Marco Rubio voted ""against every bill that would have helped keep our families safe. He even voted against a bipartisan measure, introduced by a Republican, to prevent people on the no-fly list from purchasing guns.""
"
"on Wednesday, September 21st, 2016", Republican National Committee,"""Over the past eight years, black youth unemployment is up.""
"
"on Wednesday, September 21st, 2016",Tom Steyer,"""Since 1978, California has spent $5 billion to put 13 people to death.""
"
"on Tuesday, September 20th, 2016", Americans for Prosperity: Florida,"Says ""Patrick Murphy’s ‘Pay More’ energy agenda means you could pay another $500 a year for your utility bills!""
"
"on Tuesday, September 13th, 2016",Paul Wolfowitz,"""The Germans, the French, countries that opposed us in the (Iraq) war, all believed (Saddam Hussein) had weapons of mass destruction.""

 
"
"on Tuesday, September 13th, 2016",Yes  on 55,"California’s Prop 55 ""prevents $4 billion in new cuts to our schools.""
"
"on Monday, September 12th, 2016",Ted Gatsas,"Chris ""Sununu supported Obama’s Common Core agenda, taking away local control of our schools.""
"
"on Friday, September 9th, 2016", American Future Fund,"Says ""Patrick Murphy was named one of America's least effective congressmen.""
"
"on Friday, September 9th, 2016",Hillary Clinton,"""That's legal: If you find out about somebody else's salary even if you're doing exactly the same job, you can be retaliated against, including being fired, in most places.""
"
"on Friday, September 9th, 2016",Jim Mowrer,"""After 9/11, Jim put us all first by serving for 23 months in Iraq, the war’s longest tour.""
"
"on Thursday, September 8th, 2016", National Republican Senatorial Committee,"Says Patrick Murphy ""never worked as a CPA"" and was ""never a small business owner.""
"
"on Thursday, September 8th, 2016",Donald Trump,"Says Russian President Vladimir Putin ""calls me brilliant."" 
"
"on Thursday, September 8th, 2016",Colin Van Ostern,"""I cast the deciding vote extending Medicaid health care coverage to 50,000 of our fellow citizens,""
"
"on Thursday, September 8th, 2016", NARAL Pro-Choice America,"""Marco Rubio voted against funding health clinics that provide critical care during this public health emergency (Zika).""
"
"on Wednesday, September 7th, 2016",Hillary Clinton,"Says Donald Trump supports ""an agenda out there"" to privatize the Veterans Affairs health care system.
"
"on Wednesday, September 7th, 2016",Donald Trump,"

Says Hillary Clinton said the Veterans Affairs scandal is ""over-exaggerated."" ""She said she was satisfied with what was going on.""


"
"on Tuesday, September 6th, 2016",Alex Castellanos,"""The Clinton Foundation gives less than 10 (percent in direct aid). In 2013, they raised 140 million bucks, gave $9 million to people in direct aid.""
"
"on Friday, September 2nd, 2016",Roy Cooper,"""Under Pat McCrory, (North Carolina) has fallen to 41st in teacher pay.""
"
"on Friday, September 2nd, 2016",Donald Trump,"Says ""Hillary Clinton has pledged amnesty in her first 100 days, and her plan will provide Obamacare, Social Security, and Medicare for illegal immigrants, breaking the federal budget.""
"
"on Friday, September 2nd, 2016",Rob Gleason,"""As the election tracker FiveThirtyEight has reported, whoever wins Pennsylvania will be our next President.""
"
"on Thursday, September 1st, 2016",Bruce Rauner,"Democrats ""are cutting our school funding. Four times in the last 10 years before we came into office.""
"
"on Thursday, September 1st, 2016",Donald Trump,"""Illegal immigration costs our country more than $113 billion a year.""
"
"on Monday, August 29th, 2016",Donald Trump,"""They were going to build the wall a while ago, not so long ago, like in '06. And they couldn't get environmental impact statements.""
"
"on Monday, August 29th, 2016", Republican Party of Florida,"Says Hillary Clinton ""voted to raise taxes on workers earning as little as $41,500.""
"
"on Friday, August 26th, 2016",No on 56  campaign ,"""Prop 56 cheats schools out of at least $600 million.""
"
"on Thursday, August 25th, 2016",Donald Trump,"The Hollywood celebrities endorsing Hillary Clinton are ""in many cases celebrities that aren’t very hot anymore.""
"
"on Thursday, August 25th, 2016",Lamar Smith,"""One third of all federal prisoners today are illegal immigrants.""
"
"on Thursday, August 25th, 2016",Donald Trump,"""Since President Obama came into office, another 2 million Hispanics have joined the ranks of those in poverty. … The number of Hispanic children living in poverty increased by 15 percent in that short period of time.""
"
"on Wednesday, August 24th, 2016",Donald Trump,"Says Hillary Clinton wants illegal immigrants ""collecting Social Security benefits.""
"
"on Wednesday, August 24th, 2016",Jennifer Granholm,"Says Hillary Clinton ""abided by the ethics agreement"" between the Clinton Foundation and the Obama administration.
"
"on Wednesday, August 24th, 2016",Donald Trump,"The Obama administration gave Iran ""$400 million in ransom payment cash.""
"
"on Tuesday, August 23rd, 2016",Independent Voice for Illinois PAC ,"""...Secret documents reveal that Iran could obtain a nuclear weapon far sooner than we were told. And Tammy Duckworth voted ‘yes’ (on the Iran nuclear deal)."" 
"
"on Tuesday, August 23rd, 2016",Donald Trump,"Says a CNN anchor said that Hillary Clinton has gotten ""a free ride so far from the media. We're the biggest ones supporting her campaign.""
"
"on Tuesday, August 23rd, 2016", Ohio Democratic Party,"""Who would sign up to speak for a (Haitian) dictator? Rob Portman.""
"
"on Monday, August 22nd, 2016",Tim Kaine,"""Even Richard Nixon released his tax returns to the public when he was running for president ...""
"
"on Friday, August 19th, 2016", United for Care,"""Medical-grade marijuana alone will not get that patient ‘high,’ no matter what level of THC, CBD or any other compound is found in the plant.""
"
"on Thursday, August 18th, 2016",Donald Trump,"""NAFTA, signed by Bill Clinton, has been a disaster for Pennsylvania.""
"
"on Wednesday, August 17th, 2016",Michael  Madigan,"""Gonzales’ losing campaign against me last spring was funded with more than $1 million from supporters and allies of Governor Bruce Rauner.""
"
"on Wednesday, August 17th, 2016",Joe Biden,"Says military commanders have said that if Donald Trump were elected, ""they would not follow his orders.""
"
"on Tuesday, August 16th, 2016",Pat McCrory,"""Roy Cooper's refusal to do his job is costing taxpayers money.""
"
"on Tuesday, August 16th, 2016", Vote No On 2,"""Because there's no local option to allow communities to ban, limit or restrict the location of pot shops, if Amendment 2 passes you can expect the seedy elements of the pot industry to move in right next door to your neighborhood, your church, your business and even your child's school.""
"
"on Monday, August 15th, 2016",Gary Johnson,"""The Pentagon itself says that we could eliminate 20 percent of U.S. bases.""
"
"on Monday, August 15th, 2016",Independence USA PAC,"""Toomey crossed party lines… to stop gun sales to suspects on the terror watch list.""
"
"on Monday, August 15th, 2016",Lisa Boothe,"""One in four inmates is an illegal immigrant.""
"
"on Monday, August 15th, 2016",  AFSCME,"""In Washington, Congressman Joe Heck supports privatizing (Social Security), turning our savings over to Wall Street and risking it on the stock market.""
"
"on Friday, August 12th, 2016", Ohio Right to Life,"""Ted Strickland stands in lockstep with Hillary Clinton and the abortion lobby in their desire to force Americans to pay for abortion on demand, up until the moment of birth, with their taxpayer dollars.""
"
"on Friday, August 12th, 2016",Carlos Beruff,"""The director of the FBI said that we cannot properly vet people coming from the Middle East.""
"
"on Friday, August 12th, 2016",Hillary Clinton,"Says Donald Trump ""has been talking about the option of using a nuclear weapon against our Western European allies.""
"
"on Wednesday, August 10th, 2016",Donald Trump,"Says Hillary Clinton's plan ""would tax many small businesses by almost 50 percent.""
"
"on Wednesday, August 10th, 2016", National Republican Senatorial Committee,"""In Catherine Cortez Masto's last term as attorney general, Nevada murder went up 11 percent, robbery went up 28 percent, rape 51 percent. When Cortez Masto left office, Nevada ranked as America's third most dangerous state.""
"
"on Tuesday, August 9th, 2016",Debbie Wasserman Schultz,"Says Gov. Rick Scott ""cut nearly $1 million from mosquito control and closed down the state’s mosquito research lab a few years ago.""
"
"on Tuesday, August 9th, 2016", Democratic Congressional Campaign Committee,"Says Rep. Mike Coffman is ""the one who said"" he would support Trump.
"
"on Monday, August 8th, 2016",Anthony Weiner,"""We know this now. The banks no longer loan (Donald Trump) money because he's a terrible risk. So he goes to these (Russian) oligarchs and borrows money.""
"
"on Sunday, August 7th, 2016", Rebuilding America Now,"Through the Clinton Foundation, ""the Clintons are now worth in excess of $100 million.""
"
"on Friday, August 5th, 2016",Dianne Feinstein,"California’s marijuana legalization initiative, Prop. 64 ""allows marijuana smoking ads in prime time, on programs with millions of children and teenage viewers.""
"
"on Thursday, August 4th, 2016",Kelly Cassidy,"""Then, the Republican leader theatrically introduced new bills with stopgap budget language, declaring that we could stay until midnight and pass this compromise. Except under our constitution, a bill has to be read on 3 different days, so that's not possible.""
"
"on Thursday, August 4th, 2016",Patrick Murphy,"Says ""Marco Rubio didn’t show up"" for a vote on his own bill on sanctions against Hezbollah.
"
"on Wednesday, August 3rd, 2016",David A. Clarke Jr.,"Says Barack Obama ""said black males are two times more likely to be shot by a law enforcement officer than white males"" and ""that is a lie"" because ""there is no data.""
"
"on Tuesday, August 2nd, 2016",Majority Forward,"Says Sen. Pat Toomey ""even tried to shut down the federal government in order to eliminate funding for Planned Parenthood.""
"
"on Monday, August 1st, 2016",Tina Rosenberg,"In Liberia, ""a girl is more likely to be married by 18 than to know how to read.""
"
"on Friday, July 29th, 2016",Bike Austin,"""Bike lanes and sidewalks have been proven to reduce crashes by up to 38 percent on Austin’s streets.""
"
"on Friday, July 29th, 2016",Reince Priebus,"Says Hillary Clinton's Iran nuclear deal ""lined the pockets of the world's number one state sponsor of terrorism with your money.""
"
"on Thursday, July 28th, 2016",Matt Mackowiak,"""In 2009, his first year as mayor,"" Julián Castro ""received a seven-figure referral fee"" that smells like a dirty financial gift ""from notorious personal injury lawyer Mikal Watts, a major Obama donor.""
"
"on Thursday, July 28th, 2016",John Shimkus,"""When LBJ started #WarOnPoverty, 14% of Americans lived in poverty. 50 yrs later, 14% still do. There's a #BetterWay.""
"
"on Wednesday, July 27th, 2016",Harry Reid,"Says ""Donald Trump and Mike Pence want to gamble with your retirement benefits in the stock market.""
"
"on Wednesday, July 27th, 2016", Democratic Congressional Campaign Committee,"Says Gov. Mike Pence and Rep. Mike Coffman ""take the same positions on a number of things ... Coffman and Pence oppose equal rights for LGBT Americans.""

 
"
"on Wednesday, July 27th, 2016",Hillary Clinton,"Says when an interviewer asked Donald Trump if he treats women with respect, Trump replied, ""I can't say that.""
"
"on Tuesday, July 26th, 2016",Corey  Stewart,"Says Hillary Clinton and Ralph Northam ""label police as racists.""
"
"on Monday, July 25th, 2016",Tim Kaine,"Says ""Donald Trump is a guy who has called for privatization"" of the Veterans Administration.
"
"on Friday, July 22nd, 2016",Donald Trump,"""America is one of the highest-taxed nations in the world.""

 
"
"on Thursday, July 21st, 2016",Donald Trump,"""In 2009, pre-Hillary, ISIS was not even on the map.""
"
"on Thursday, July 21st, 2016",Mike Pence,"""It was Hillary Clinton who left Americans in harm's way in Benghazi and after four Americans fell said, 'What difference at this point does it make?' ""
"
"on Wednesday, July 20th, 2016",Hugh Hewitt,"""A million Democrats deserted (Howard Dean’s) party and joined my party because of Donald Trump in Ohio this year.""
"
"on Wednesday, July 20th, 2016",Darryl  Glenn ,"""Neighborhoods have become more violent"" under President Barack Obama's ""watch.""
"
"on Wednesday, July 20th, 2016",Tom Marino,"""[Hillary Clinton]'s not trusted -- virtually at all.""
"
"on Wednesday, July 20th, 2016",Mitch McConnell,"In 2010, Clinton ""said Iran could enrich uranium. In 2014 she said she’s always argued against it.""
"
"on Tuesday, July 19th, 2016",Sharon Day,"As a senator, Hillary Clinton ""paid women less than the men"" in her office.
"
"on Tuesday, July 19th, 2016",Sean Duffy,"""Barack Obama and Hillary Clinton have left us with $19 trillion in debt.""
"
"on Tuesday, July 19th, 2016",Tim Kaine,"Says Donald Trump is ""against minimum wage.""
"
"on Monday, July 18th, 2016",Mark Geist,"""We defied the stand-down orders"" during the Benghazi attack.
"
"on Monday, July 18th, 2016",Jeff Sessions,"Says Hillary Clinton ""has been a champion of globalist trade agreements. ... Worst of all, they are now pushing the disastrous 5,000-page Obamatrade — the Trans-Pacific Partnership agreement.""

 
"
"on Thursday, July 14th, 2016",Barack Obama,"""We flood communities with so many guns that it is easier for a teenager to buy a Glock than get his hands on a computer or even a book.""
"
"on Wednesday, July 13th, 2016",Bill de Blasio,"Says ""220,000 New Yorkers would have immediately benefitted had President Obama’s executive action been affirmed. So almost a quarter million of our fellow New Yorkers who are hurting right now whose rights and opportunities were taken away by the Supreme Court.""
"
"on Wednesday, July 13th, 2016", Democratic Party of Wisconsin,"Says Ron Johnson ""supported a plan to cut benefits and raise the retirement age"" for Social Security. 
"
"on Tuesday, July 12th, 2016", Senate Majority PAC,"""(Big banks) have invested over $300,000 in (Joe Heck), and Heck has sponsored $44 million dollars in tax breaks for banks.""
"
"on Tuesday, July 12th, 2016",Carlos Beruff,"""The folks in Washington"" are ""already forcing you to buy government health care.""
"
"on Tuesday, July 12th, 2016",Firearms  Policy Coalition,"California’s Proposition 63 would ""CRIMINALIZE the sharing of ammunition between friends who may be hunting or shooting together.""
"
"on Monday, July 11th, 2016",Ritch Workman,"Says he ""voted to remove Common Core from our schools.""
"
"on Friday, July 8th, 2016",Andrew Cuomo,"""We’re losing as many people to heroin and opioid overdoses as we lost to the AIDS epidemic at its peak.""
"
"on Friday, July 8th, 2016",Sherrod Brown,"Says Donald Trump made a lot of money from outsourcing jobs thanks to NAFTA ""but never, ever raised his voice against it when Congress was considering it.""

 
"
"on Friday, July 8th, 2016",Carlos Beruff,"""Rather than work to secure the border, (Marco Rubio) supported Obama’s amnesty plan for illegal immigrants.""

 
"
"on Thursday, July 7th, 2016",Donald Trump,"""You know what (Saddam Hussein) did well? He killed terrorists.""
"
"on Thursday, July 7th, 2016", Freedom Partners Action Fund,"""Many Nevadans relied on Uber for work, but after accepting $70,000 from taxi companies, Catherine Cortez Masto went after Uber ... (driving) them out of town.""
"
"on Wednesday, July 6th, 2016", Rebuilding America Now,"Says Hillary Clinton ""savaged"" the dignity of people who accused Bill Clinton of sexual harassment or assault ""and shamed them.""
"
"on Wednesday, July 6th, 2016",Russ  Feingold,"Says Ron Johnson justifies his support of trade agreements by saying the U.S. has the Trade Adjustment Assistance program for displaced workers, but then he ""voted to eliminate it.""
"
"on Tuesday, July 5th, 2016",Barack Obama,"""During my administration, for example, we boosted U.S. exports to Canada and Mexico by about 50 percent. That supports about 2.8 million American jobs.""
"
"on Tuesday, July 5th, 2016",Pat Robertson,"President Barack Obama attended  ""an Islamic madrassa.""
"
"on Friday, July 1st, 2016",Daily Mail,"""Google search spike suggests many people don’t know why they voted for Brexit.""

 

 
"
"on Thursday, June 30th, 2016",Sean Hannity,"""During the (Benghazi) attack, a stand-down order was given, and our troops were told to change their clothes four times.""
"
"on Thursday, June 30th, 2016",Donald Trump,"Says Hillary Clinton’s State Department ""approved the transfer of 20 percent of America’s uranium holdings to Russia, while nine investors in the deal funneled $145 million to the Clinton Foundation.""
"
"on Thursday, June 30th, 2016",Charlie Crist,"David Jolly ""has used money and power to try to … drill off our beaches.""
"
"on Tuesday, June 28th, 2016",Donald Trump,"""Hillary Clinton surged the trade deficit with China 40% as Secretary of State, costing Americans millions of jobs.""
"
"on Tuesday, June 28th, 2016",Hillary Clinton,"""Thanks to (North Carolina’s) governor and the legislature, the average teacher salary can barely support a family.""
"
"on Tuesday, June 28th, 2016",Kevin Brady,"The United States ""is the only major country that taxes its own exports.""

 
"
"on Monday, June 27th, 2016",Stephen Colbert,"Says ""Paul Ryan shut off the C-SPAN cameras when the Democrats started their sit-in.""
"
"on Monday, June 27th, 2016",Thomas Perez,"""Go look at a Trump product. They’re all made in China.""
"
"on Sunday, June 26th, 2016",Ted Cruz,"Barack Obama issued a decree ""demanding that every public school now allow grown men and boys into the little girls’ bathroom.""

 
"
"on Friday, June 24th, 2016",John  Garamendi,"""You can’t get on an airplane, but more than 2,000 people on that list have been able to buy a gun.""
"
"on Friday, June 24th, 2016",Jim Kenney,"My administration is ""well represented both racially, ethnically and gender-wise.""
"
"on Thursday, June 23rd, 2016",Andrew Napolitano,"""Attempts to find things like, ‘crime,’ ‘criminal activity,’ ‘indictment,’ have been filtered out by Google"" in favor of Hillary Clinton.
"
"on Monday, June 20th, 2016",Steve Chabot,"Says the Clinton Foundation ""accepted millions and millions of dollars from governments like Algeria, Saudi Arabia, Oman and the United Arab Emirates,"" which violated ""a ban on all contributions to the Foundation from foreign nations.""

 
"
"on Monday, June 20th, 2016",Ron Johnson,"""Assault rifles already are banned.""
"
"on Monday, June 20th, 2016",Donald Trump,"Says the unemployment rate for African-American youths is 59 percent.  
"
"on Sunday, June 19th, 2016",Donald Trump,"Says delegates can't ""legally"" change the Republican National Convention rules to prevent Donald Trump’s nomination.
"
"on Thursday, June 16th, 2016",Paul Ryan,"American colleges amount to a ""cartel.""

 
"
"on Wednesday, June 15th, 2016",Robin Wright,"Says Apple products are currently ""90 percent conflict-free,"" and ""Intel is 100 percent conflict-free.""
"
"on Wednesday, June 15th, 2016",Katie McGinty,"""He leant his name to a bill, did little or nothing three years ago to try to get it passed, (and) since then has done absolutely nothing other than disavow any attempt to move on the legislation.""
"
"on Tuesday, June 14th, 2016",Alan Grayson,"The rifle used by Omar Mateen ""shoots off 700 rounds in a minute.""

 
"
"on Friday, June 10th, 2016", Viral image,"""Tuition-free public universities and colleges are just a pipe dream. False. They were both free up until the Vietnam War.""

 
"
"on Friday, June 10th, 2016",Joyce Beatty,"In Ohio, ""each year an estimated 1,000 children become victims of human trafficking, and over 3,000 more are at risk.""
"
"on Friday, June 10th, 2016",Austin Independent School District,"""Austin ISD has the highest graduation rate of every major city in Texas.""
"
"on Thursday, June 9th, 2016",Gary Johnson,"Says the United States has ""treaties with apparently 69 countries where we are obligated to defend their borders. And these were treaties that were executive treaties, not authorized by Congress.""

 
"
"on Tuesday, June 7th, 2016",Donald Trump,"Says Judge Gonzalo Curiel ""is a member of a club or society, very strongly pro-Mexican.""

 
"
"on Tuesday, June 7th, 2016",Pat Toomey,"Says Merrick Garland ""authored an opinion that resulted in the release of 17 Guantanamo Bay prisoners who were part of a group of violent Islamist extremists the State Department had designated as terrorists.""
"
"on Friday, June 3rd, 2016",Paul Babeu,"""The president has said the national security threat facing America, the top one, is global warming.""
"
"on Friday, June 3rd, 2016",Renee Ellmers,"Because George Holding doesn’t live in the congressional district he’s running for, he ""doesn’t experience the same things that we are all experiencing.""
"
"on Friday, June 3rd, 2016",Sharron Angle,"""Congressman Joe Heck has (voted) 62% of the time with Nancy Pelosi and the Democrats on a variety of important issues.""
"
"on Thursday, June 2nd, 2016",Donald Trump,"Says Hillary Clinton has spoken ""such lies about my foreign policy. They said I want Japan to … get nuclear weapons. Give me a break.""
"
"on Tuesday, May 31st, 2016",Pat Toomey,"It's entirely possible that the Democratic nominee, [Hillary Clinton], earned more money giving a single speech on Wall Street than I made the six years that I was there back in the 1980s… In fact, it’s quite likely.
"
"on Tuesday, May 31st, 2016",Donald Trump,"In California, ""the windmills are killing hundreds and hundreds of eagles.""

 
"
"on Friday, May 27th, 2016",Pat McCrory,"Says the Human Rights Campaign is secretly funded
"
"on Tuesday, May 24th, 2016",Hillary Clinton,"""The only two (Donald Trump tax returns) we have show that he hasn't paid a penny in taxes.""
"
"on Friday, May 20th, 2016",U.S. Dairy Export Council,"Says a WHO proposal ""portrays milk and dairy products as an obstacle to a healthy start in life.""
"
"on Thursday, May 19th, 2016",Donald Trump,"Says ""Elizabeth Warren lied when she says I want to abolish the Federal Minimum Wage.""
"
"on Wednesday, May 18th, 2016", Colorado's Voice,"Says ""Mike Coffman is with Trump.""

 
"
"on Wednesday, May 18th, 2016",Alan Grayson,"Says Patrick Murphy ""switched his vote on All Aboard Florida ... because his father tried to get in a bid to build it and was unsuccessful.""

 
"
"on Tuesday, May 17th, 2016",Pat Buchanan,"""Now in half the homes in California, people speak a language other than English in their own homes.""
"
"on Wednesday, May 11th, 2016",Donald Trump,"Germany ""is crime-riddled right now"" because of migration to Europe.
"
"on Wednesday, May 11th, 2016", Arizona Grassroots Action PAC,"Says former state Sen. Kelli Ward ""wanted to ban our intelligence agencies from operating in Arizona.""
"
"on Monday, May 9th, 2016",David Jolly,"Under a new federal regulation, it will cost Pinellas County ""$31 million to fix a single ditch.""
"
"on Thursday, May 5th, 2016",Bernie Sanders,"""Increasing the min. wage to $15 an hour would reduce spending on food stamps, public housing and other programs by over $7.6 billion a year.""
"
"on Wednesday, May 4th, 2016", Enterprise Florida,"""Seven hundred thousand. That’s how many California jobs will be lost thanks to the politicians raising the minimum wage….Now Florida is adding one million jobs, not losing them.""
"
"on Sunday, May 1st, 2016",Ted Cruz,"Says both Donald Trump and Hillary Clinton say Planned Parenthood is ""terrific and that it should keep taxpayer funding."" 
"
"on Friday, April 29th, 2016",Paul Ryan,"The decision for the United States to buy heavy water from Iran ""will directly subsidize Iran’s nuclear program.""
"
"on Tuesday, April 26th, 2016",Trent Franks,"""Today in America, between 40 and 50 percent of all African-American babies, virtually 1-in-2, are killed before they are born.""
"
"on Tuesday, April 26th, 2016",Hillary Clinton,"Marijuana is a Schedule I drug, ""which you understand means that you can’t do any research about it.""
"
"on Monday, April 25th, 2016",Ted Cruz,"Says Donald Trump thinks ""a grown man pretending to be a woman (should) be allowed to use the women's restroom.""
"
"on Sunday, April 24th, 2016",Hillary Clinton,"""She is the only candidate who has stood by our community and immigration reform from the beginning.""

 
"
"on Wednesday, April 20th, 2016",Bernie Sanders,"Says that in her speech to the pro-Israel group AIPAC, Hillary Clinton ""had one line on the Palestinian people.""
"
"on Wednesday, April 20th, 2016",Bernie Sanders,"""Washington politicians are paid over $200,000 an hour for speeches.""
"
"on Tuesday, April 19th, 2016",Bernie Sanders,"""We win when voter turnout is high, we lose when it is low.""
"
"on Monday, April 18th, 2016",Jack Berry,"Richmond teachers have not gotten a raise ""for almost 10 years.""
"
"on Monday, April 18th, 2016",Don Beyer,"""But for immigrants, we would have a contracting population...""
"
"on Sunday, April 17th, 2016",Pat McCrory,"""The city of Charlotte passed a bathroom ordinance mandate on every private-sector employer in Charlotte.""
"
"on Friday, April 15th, 2016",Hillary Clinton,"The Republicans ""still want to privatize (Social Security). In fact, their whole idea is to turn over the Social Security trust fund to Wall Street.""
"
"on Thursday, April 14th, 2016",Hillary Clinton,"Says Bernie Sanders ""has been largely a very reliable supporter of the NRA.""
"
"on Wednesday, April 13th, 2016",Jan Brewer,"""Senate Bill 1070, simply, just mirrors federal law.""
"
"on Tuesday, April 12th, 2016",Ted Cruz,"""The polling shows over and over again that, unlike Donald Trump, that with me as the nominee, we beat Hillary Clinton.""
"
"on Monday, April 11th, 2016",Ted Cruz,"""Poll after poll after poll shows me beating Hillary.""
"
"on Friday, April 8th, 2016",Bill Clinton,"""Because of (the 1994 crime bill), we had a 25-year low in crime, a 33-year low in the murder rate, and listen to this, because of that and the background check law, a 46-year low in the deaths of people of gun violence.""
"
"on Friday, April 8th, 2016",David Jolly,"Race to the Top grants ""require participating states to adopt the Common Core standards as a condition for receiving federal funding.""
"
"on Thursday, April 7th, 2016",Bernie Sanders,"Says Hillary Clinton ""has been saying lately that she thinks that I am, 'not qualified to be president.' ""
"
"on Wednesday, April 6th, 2016",The Other 98%,"""Last year (the U.S. women’s soccer team) generated $20 million more than the men’s team and were paid almost four times less.""
"
"on Wednesday, April 6th, 2016",Hillary Clinton,"When mentioning Villanova’s buzzer-beating win in the national championships, Hillary Clinton said: ""I love those come-from-behind victories.""
"
"on Monday, April 4th, 2016",Bernie Sanders,"Says his free public university tuition program ""is paid for … by a tax on Wall Street's speculation.""
"
"on Friday, April 1st, 2016", LGBT Progress,"North Carolina spent ""almost as much as it spends on government rape crisis programs in a year"" to convene a special session for HB2.
"
"on Friday, April 1st, 2016",Hillary Clinton,"Says Donald Trump ""wants us to pull out of NATO.""
"
"on Thursday, March 31st, 2016",Viral media reports,"Emory University students were provided counseling after someone wrote ""Trump 2016"" in chalk on campus.
"
"on Thursday, March 31st, 2016",Rick Scott,"""Florida is investing record amounts of funding for HIV/AIDS prevention.""
"
"on Thursday, March 31st, 2016",Ted Cruz,"""The EPA has tried to define a puddle or a drainage ditch on your farm to be navigable waters and thus subject to massive environmental regulations.""

 
"
"on Wednesday, March 30th, 2016",Donald Trump,"""There’s a tremendous tax that we pay when we (American businesses) go into China, whereas when China sells to us there’s no tax.""
"
"on Monday, March 28th, 2016", Democratic Congressional Campaign Committee,"Congressman Jeff Denham ""has agreed all illegal immigrants should be detained, arrested and deported.""
"
"on Friday, March 25th, 2016",Vicky Hartzler,"""We have less Americans working now than in the ’70s.""
"
"on Wednesday, March 23rd, 2016", Wisconsin Alliance for Reform,"Says Judge JoAnne Kloppenburg agreed to use a technicality to give a convicted sex offender a new hearing because ""he didn’t understand the charge.""
"
"on Tuesday, March 22nd, 2016",Danny Tarkanian,"Nevada Republicans ""didn’t do one single thing to cut spending"" in 2015.
"
"on Monday, March 21st, 2016",Hillary Clinton,"""Our campaign depends on small donations for the majority of our support.""
"
