statement_edition,statement_source,statement_text
"on Tuesday, October 18th, 2016",Texas Automobile Dealers Association,"Says that compared to direct sales by manufacturers, consumers ""save avg of $500 per car sold through franchised dealer model.""
"
"on Tuesday, October 18th, 2016",Donald Trump,"Says Hillary Clinton was ""let off the hook"" for her email scandal while Gen. David Petraeus had his life ""destroyed for doing far, far less.""
"
"on Monday, October 17th, 2016",Scott Jones,"Says allegations that he made unwanted sexual advances on a female sheriff’s deputy ""were found by two separate judges to not have merit.""
"
"on Friday, October 14th, 2016",Chris Jacobs,"""After how hard you work and how much you pay in taxes, New York City ends up getting the money. I'm Chris Jacobs. I think it's time we have someone in Albany that's making sure our region gets our fair share""
"
"on Thursday, October 13th, 2016",William Ruto,"""Cancer and matters to do with kidney failure kill more people in Kenya today than malaria, tuberculosis and AIDS combined.""
"
"on Wednesday, October 12th, 2016", National Republican Congressional Committee,"Says Pete Gallego ""went and lobbied after you fired him from Congress.""
"
"on Tuesday, October 11th, 2016",Hillary Clinton,"""We are now, for the first time ever, energy independent.""
"
"on Tuesday, October 11th, 2016",Marco Rubio,"Says Patrick Murphy wrongly conveyed Rubio's stance on abortion for women infected by Zika.
"
"on Tuesday, October 11th, 2016",Donald Trump,"""I've gotten to see the commercials that they did on you. And I've gotten to see some of the most vicious commercials I've ever seen of Michelle Obama talking about you, Hillary.""
"
"on Tuesday, October 11th, 2016",Donald Trump,"Says Sidney Blumenthal wrote that the Benghazi attack was ""almost certainly preventable. Clinton was in charge of the State Department, and it failed to protect U.S. personnel and an American consulate in Libya.""
"
"on Monday, October 10th, 2016",Donald Trump,"Says after Hillary Clinton helped a man accused of raping a 12-year-old, ""she's seen laughing on two separate occasions, laughing at the girl who was raped.""
"
"on Sunday, October 9th, 2016",Donald Trump,"Says Hillary Clinton ""wants to go to a single-payer plan"" for health care
"
"on Sunday, October 9th, 2016",Donald Trump,"Says he has ""a fiduciary responsibility to his business, his family and his employees to pay no more tax than legally required.""
"
"on Sunday, October 9th, 2016",Ted Cruz,"Hillary Clinton ""supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.""


 
"
"on Friday, October 7th, 2016",Loretta Sanchez,"""If you give guns to gangs, you can get out of jail free, if (California’s Proposition 57) passes. If you do a drive-by shooting, you can get out of jail free, if Proposition 57 passes. If you discharge guns on a school yard, you can get out of jail free.""
"
"on Thursday, October 6th, 2016", NARAL Pro-Choice America,"""Toomey and Trump will ban abortion and punish women who have them.""
"
"on Thursday, October 6th, 2016",Donald Trump,"""In her campaign for president, Hillary Clinton has received $100 million in contributions from Wall Street and hedge funds.""
"
"on Wednesday, October 5th, 2016",Mike Pence,"Says Donald Trump ""hasn’t broken his promise"" to release his tax returns.
"
"on Wednesday, October 5th, 2016",Mike Coffman,"Says state Sen. Morgan Carroll's votes made ""it easier to sue doctors, small businesses, even nurses. Putting her own shady interests first.""
"
"on Wednesday, October 5th, 2016",Russ  Feingold,"Says Ron Johnson ""helped companies ship jobs overseas.""
"
"on Tuesday, October 4th, 2016",Mike Pence,"""10 cents on the dollar from the Clinton Foundation goes to charitable causes.""
"
"on Monday, October 3rd, 2016", Chain email,"On Tim Kaine: ""In exchange for campaign contributions, he appointed a radical jihadi to the Virginia Immigration Commission.""
"
"on Sunday, October 2nd, 2016",Rudy Giuliani,"""The 'New York Times' writes this long story"" about Donald Trump’s tax returns but ""didn't point out there was no wrongdoing"" until paragraph 18.
"
"on Friday, September 30th, 2016",Basil Seggos,"""No fracking waste is being dumped in New York State""
"
"on Friday, September 30th, 2016",Mike Gallagher,"Says Tom Nelson ""backed higher taxes on Social Security, costing Wisconsin seniors $95 million.""

 
"
"on Thursday, September 29th, 2016",Rick Scott,"Says Hillary Clinton ""wants to bring in thousands of refugees to America from all around the world without any kind of security screening.""
"
"on Thursday, September 29th, 2016",Ted Strickland,"Says Rob Portman ""even voted to allow people on the terrorism watch list to buy guns.""
"
"on Tuesday, September 27th, 2016",Donald Trump,"Says to Hillary Clinton, ""You heard what I said about (the Trans-Pacific Partnership trade deal), and all of a sudden you were against it.""
"
"on Tuesday, September 27th, 2016",Donald Trump,"""NATO is opening up a major terror division. ... I'm sure I'm not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.""
"
"on Tuesday, September 27th, 2016",Donald Trump,"Says ""Hillary Clinton's plan would bring in 620,000 refugees in her first term, alone, with no effective way to screen or vet them. Her plan would cost $400 billion in terms of lifetime welfare and entitlement costs.""
"
"on Tuesday, September 27th, 2016",Donald Trump,"Says Hillary Clinton’s energy agenda ""will cost the U.S. economy over $5 trillion""
"
"on Tuesday, September 27th, 2016",Donald Trump,"Says top Clinton advisers ""were pressing"" birther movement stories ""very hard.""

 
"
"on Monday, September 26th, 2016",Donald Trump,"""I did not support the war in Iraq … The record shows that I’m right.""
"
"on Monday, September 26th, 2016",Donald Trump,"""You will learn more about Donald Trump by going down to the Federal Elections"" to see the financial disclosure form than by looking at tax returns.
"
"on Friday, September 23rd, 2016", Daily Caller,"""Former President Bill Clinton and his Clinton Health Access Initiative (CHAI) distributed ‘watered-down’ HIV/AIDS drugs to patients in sub-Saharan Africa.""
"
"on Wednesday, September 21st, 2016",Donald Trump,"""I never said"" that Muslims would be subject to profiling under his policies.
"
"on Wednesday, September 21st, 2016", Let America Work,"Says Russ Feingold was the ""only senator to vote against Homeland Security.""
"
"on Tuesday, September 20th, 2016",Tom Tancredo,"Says eight Americans died in a knife attack at a Minnesota mall.

 
"
"on Monday, September 19th, 2016", Americans for Prosperity,"""300,000 Floridians have lost their health insurance"" as a result of Obamacare.
"
"on Friday, September 16th, 2016",Donald Trump,"""Hillary Clinton and her campaign of 2008 started the birther controversy.""
"
"on Friday, September 16th, 2016",Pat Toomey,"McGinty previously told a local community newspaper in her native Philadelphia that she 'has found an alarming undercurrent of misinformed people in the 'T' part of the state' outside of Philadelphia and Pittsburgh.
"
"on Thursday, September 15th, 2016",John  Fleming,"""The head of the IRS ordered 24,000 emails erased before Congress could review them, making sure the American people will never know the real truth.""
"
"on Thursday, September 15th, 2016", American Unity PAC,"Says Ted Strickland supported giving $150 billion to Iranian regime that persecutes women, Christians and gays.

 
"
"on Wednesday, September 14th, 2016",Marco Rubio,"Says ""Patrick Murphy is the only candidate to have voted against every measure to fund Zika.""
"
"on Wednesday, September 14th, 2016",Kellyanne Conway,"Says the Donald J.Trump Foundation's money ""is his money.""
"
"on Wednesday, September 14th, 2016",Ted Cruz,"""If Congress fails to act, the Obama administration intends to give away control of the internet to an international body akin to the United Nations.""
"
"on Wednesday, September 14th, 2016",Sean Duffy,"Says Hillary Clinton aide Huma Abedin has ""ties to the Muslim Brotherhood.""

 
"
"on Monday, September 12th, 2016", Bloggers,"Say ""71 percent of doctors say Hillary's health concerns are 'serious' and 'could be disqualifying.' ""
"
"on Friday, September 9th, 2016",Donald Trump,"""Our veterans, in many cases, are being treated worse than illegal immigrants.""
"
"on Thursday, September 8th, 2016",SEIU Healthcare Illinois & Indiana ,"""In an interview with the Chicago Tribune's Editorial Board, Comptroller Leslie Munger says that in order to balance a budget, the state would have to 'cut social services completely.'""
"
"on Thursday, September 8th, 2016", National Republican Senatorial Committee,"Says Patrick Murphy advocated for ""cuts to Social Security and Medicare.""
"
"on Wednesday, September 7th, 2016",Donald Trump,"""I was totally against the war in Iraq."" 
"
"on Wednesday, September 7th, 2016",Rudy Giuliani,"""Food stamps have gone up two-and-a-half times under Barack Obama.""
"
"on Wednesday, September 7th, 2016",Donald Trump,"""I released the most extensive financial review of anybody in the history of politics. … You don't learn much in a tax return.""
"
"on Sunday, September 4th, 2016",Mike Pence,"""Donald Trump’s been completely consistent"" about his plan for nonviolent undocumented immigrants.
"
"on Wednesday, August 31st, 2016",Donald Trump,"""Hillary Clinton wants to shut down family farms"" using ""radical regulation,"" by raising business tax ""rates as high as nearly 50 percent"" and by taxing ""family farms again at death by as much as 45 percent.""
"
"on Tuesday, August 30th, 2016",Anna Throne-Holst,"Lee Zeldin ""missed 2/3rds of Veterans Affairs Hearings""
"
"on Monday, August 29th, 2016", Viral image,"As the number of vaccines administered to children has increased in the United States, so has the autism rate.

 
"
"on Monday, August 29th, 2016",Gary Johnson,"""None of the polls being conducted right now have us on the top line. None of them. It's always Trump and Clinton and then second question, third question. ... If we were included in the top line, as Johnson/Trump/Clinton, we'd be at 20 percent.""
"
"on Monday, August 29th, 2016",Donald Trump,"As governor, Tim Kaine ""oversaw a huge increase in illegal immigration, a tremendous increase.""
"
"on Friday, August 26th, 2016",Sean Hannity,"""All of Texas is conservative, except a little bit of Austin.""
"
"on Friday, August 26th, 2016",Donald Trump,"Says Hillary Clinton ""wants to raise taxes on African-American owned businesses to as much as nearly 50 percent more than they're paying now.""
"
"on Friday, August 26th, 2016",Robin Schimminger,"On job creation numbers in the latest Start-Up NY report: ""This is a significant number of overcounts in the compilation that I’ve looked at.""
"
"on Friday, August 26th, 2016",Russ  Feingold,"Says Ron Johnson ""voted five times for tax breaks that help companies ship Wisconsin jobs overseas.""
"
"on Thursday, August 25th, 2016",Reince Priebus,"""The fact is"" the Clinton Foundation has ""got about 80 percent in overhead and 20 percent of the money is actually getting into the places it should.""
"
"on Thursday, August 18th, 2016",Donald Trump,"Says Hillary Clinton is ""proposing to print instant work permits for millions of illegal immigrants to come in and take everybody's jobs, including low-income African-Americans.""
"
"on Tuesday, August 16th, 2016",Rudy Giuliani,"""Under those eight years before (Barack) Obama came along, we didn’t have any successful radical Islamic terrorist attack in the United States"" since Sept. 11, 2001.
"
"on Tuesday, August 16th, 2016",Donald Trump,"""I had previously said that NATO was obsolete because it failed to deal adequately with terrorism. Since my comments, they have changed their policy and now have a new division focused on terror threats.""
"
"on Friday, August 12th, 2016",Sid Miller,"Says that since lawmakers acted, ""we have 130 new businesses across Texas doing helicopter hog hunts.""
"
"on Friday, August 12th, 2016",Chris Collins,"Hillary Clinton ""has already said she's going to wipe out the Second Amendment. She doesn't believe in the First Amendment. And, she also believes in big government, which flies in the face of the 10th Amendment""
"
"on Friday, August 12th, 2016",Ron Johnson,"""The climate hasn't warmed in quite a few years. That is proven scientifically.""

 
"
"on Thursday, August 11th, 2016", National Rifle Association,"Says Hillary Clinton ""doesn’t believe in your right to keep a gun at home for self-defense.""
"
"on Thursday, August 11th, 2016", NowThis,"Says President Bill Clinton did not sign NAFTA. 
"
"on Tuesday, August 9th, 2016",Donald Trump,"""The Obama-Clinton war on coal has cost Michigan over 50,000 jobs.""
"
"on Tuesday, August 9th, 2016", Viral image,"Says in 2012 ""Obama won in every state that did not require a photo ID and lost in every state that did require a photo ID in order to vote.""
"
"on Monday, August 8th, 2016",Tim Kaine,"Donald Trump says ""all Mexicans are rapists.""
"
"on Friday, August 5th, 2016",Carl Paladino,"In Buffalo's SolarCity project, ""Andrew Cuomo will create maybe 500 jobs if it ever happens at all, at about $1.5 million per job.""
"
"on Friday, August 5th, 2016",Donald Trump,"Says he saw videotape ""of the people taking the money off the plane"" to pay ransom to Iran for hostages.
"
"on Thursday, August 4th, 2016",Kelly Terry-Willis,"In Arizona, ""there are only one and a half (Border Patrol) agents per every 10 square miles."" 
"
"on Thursday, August 4th, 2016",Donald Trump,"""Youth unemployment is through the roof.""
"
"on Thursday, August 4th, 2016", Milwaukeeans for Self-Governance,"Says Milwaukee County district attorney candidate Verona Swanigan ""has worked as a prosecutor.""
"
"on Tuesday, August 2nd, 2016",Joe Biden,"Says Donald Trump ""is going to go out and carpet bomb"" the Middle East.
"
"on Tuesday, August 2nd, 2016",Dave Brat,"""A few weeks ago, (the) education committee in Congress is deciding what’s going to be in your local salad bar.""
"
"on Monday, August 1st, 2016",Hillary Clinton,"Says Donald Trump ""doesn't make a thing in America.""
"
"on Sunday, July 31st, 2016",Paul Manafort,"""The DNC hack showed you that the Clinton campaign was working to schedule (primary) debates against (Bernie) Sanders,"" and the Clinton campaign is continuing this ""ploy"" against Donald Trump.
"
"on Friday, July 29th, 2016",Jeannette Vaught,"""Only five Texas counties account for almost 90 percent of the (state’s) cattle industry.""
"
"on Thursday, July 28th, 2016",Catherine Cortez Masto,"""Just on the issue of immigration alone, it is next to impossible to find a policy difference between (Donald) Trump and Congressman (Joe) Heck.""
"
"on Monday, July 25th, 2016",Donald Trump,"""An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates.""
"
"on Sunday, July 24th, 2016",Hillary Clinton,"Says unlike Tim Kaine, who ""invested"" in education, Indiana Gov. Mike Pence ""slashed education funding.""
"
"on Thursday, July 21st, 2016",Donald Trump,"Says Hillary Clinton ""wants to essentially abolish the Second Amendment.""
"
"on Thursday, July 21st, 2016",Mark Kirk,"Says Rep. Tammy ""Duckworth has been a staunch supporter of expanding the spending, size and reach of the IRS.""
"
"on Wednesday, July 20th, 2016",Phil Ruffin,"Says Donald Trump ""always pays his bills promptly.""
"
"on Wednesday, July 20th, 2016",Rick Scott,"""Our economy is not growing.""
"
"on Wednesday, July 20th, 2016",Donald Trump,"""Hillary Clinton invented ISIS with her stupid policies. She is responsible for ISIS.""
"
"on Tuesday, July 19th, 2016",Donald Trump Jr.,"Says Hillary Clinton is proposing ""destroying Medicare for seniors.""
"
"on Tuesday, July 19th, 2016",Paul Manafort,"""The Clinton camp was the first to get it out there and try to say there was something untoward about the speech that Melania Trump gave.""
"
"on Tuesday, July 19th, 2016",Jeff Sessions,"""There are about 350,000 people who succeed in crossing our borders illegally each year.""
"
"on Monday, July 18th, 2016",Donald Trump,"Says as GOP was picking a convention city, ""I recommended Ohio.""
"
"on Monday, July 18th, 2016",Rudy Giuliani,"""Hillary Clinton is for open borders.""
"
"on Sunday, July 17th, 2016",Reince Priebus,"Says no one from the Bush family attended the 2012 Republican National Convention and ""there was no President Bush"" at the 2008 convention.
"
"on Sunday, July 17th, 2016",Reince Priebus,"""What the facts say"" is ... ""the best scenario for kids is a loving mom and dad.""
"
"on Friday, July 15th, 2016",Donald Trump,"""Just look at what the FBI director said about her (Hillary Clinton) — her misconduct  is a disgrace and embarrassment to our country.""
"
"on Friday, July 15th, 2016",Tammy Duckworth ,"Says Mark Kirk ""called for the mass arrest of 18,000 African Americans"" and ""was apparently fine with Trump’s #StillTooRacist call for mass deportation.""
"
"on Thursday, July 14th, 2016",Mike Pence,"Says Hillary Clinton ""took 13 hours to send help to Americans under fire"" during the terrorist attack in Benghazi.
"
"on Thursday, July 14th, 2016",Kelli  Ward,"Says Sen. John McCain spent the July 4 weekend in Islamabad, Pakistan, selling ""F-16s and advanced weapons to the folks who harbored Osama bin Laden.""
"
"on Thursday, July 14th, 2016", Snapchat,"""90% of rural women and 55% of all women are illiterate"" in Morocco.

 
"
"on Wednesday, July 6th, 2016",Hillary Clinton,"Says she ""never received nor sent any material that was marked classified"" on her private email server while secretary of state.
"
"on Tuesday, July 5th, 2016",Barack Obama,"""The steel industry is producing as much steel in the United States as it ever was. It’s just (that) it needs one-tenth of the workers that it used to.""
"
"on Friday, July 1st, 2016",Donald Trump,"""As Secretary of State, Hillary Clinton laundered money to Bill Clinton through Laureate Education, while Bill Clinton was an honorary chairman of the group.""

 
"
"on Wednesday, June 29th, 2016",David A. Clarke Jr.,"""Doctors kill about 250,000 people a year in botched surgeries.""

 
"
"on Tuesday, June 28th, 2016",Donald Trump,"Says Hillary Clinton ""filibustered legislation to reform"" Fannie Mae and Freddie Mac.
"
"on Monday, June 27th, 2016",Bryce Reeves,"Gov. Terry McAuliffe ""has made several statements that he would love to be in a Cabinet secretary position with the Clinton administration.""
"
"on Thursday, June 23rd, 2016",Donald Trump,"Says Hillary Clinton’s immigration platform would ""create totally open borders.""

 
"
"on Thursday, June 23rd, 2016",Steve Adler,"Austin was the ""site of the first mass shooting in the country.""
"
"on Thursday, June 23rd, 2016",Donald Trump,"The Benghazi victims were ""left helpless to die as Hillary Clinton soundly slept in her bed.""
"
"on Thursday, June 23rd, 2016",Michael Moore,"The ammunition used in the Orlando shooting ""is banned by Geneva Convention. It enters the body, spins & explodes.""
"
"on Thursday, June 23rd, 2016", Bloggers,"Says Hillary Clinton’s ""State Department blocked investigation into Orlando killer’s mosque.""

 
"
"on Wednesday, June 22nd, 2016",Donald Trump,"""Because of Obamacare, you have so many part-time jobs.""
"
"on Wednesday, June 22nd, 2016",Donald Trump,"""I was among the earliest to criticize the rush to war (in Iraq), and yes, even before the war ever started.""

 
"
"on Saturday, June 18th, 2016",Donald Trump,"Even among ""second and third generation"" Muslims in the United States, ""there's no real assimilation.""
"
"on Tuesday, June 14th, 2016",Rob Wittman,"""On average, each U.S. military working dog saves the lives of between 150 and 200 servicemen and women over the span of his career.""
"
"on Monday, June 13th, 2016", Nevada Assembly Republican Candidates,"Says Nevada lawmakers voted to allow teenaged boys to ""shower with your teenaged girls in public school locker rooms.""
"
"on Monday, June 13th, 2016",Donald Trump,"There is ""no system to vet"" refugees from the Middle East.

 
"
"on Monday, June 6th, 2016",Levar Stoney,"Virginia’s banning of felons from voting is a ""Jim Crow-era law.""
"
"on Friday, June 3rd, 2016",David Perdue,"""More businesses went out of business last year than were started for the first time in our history.""
"
"on Friday, June 3rd, 2016",Rush Limbaugh,"The presence of gorillas calls into question the concept of evolution.
"
"on Wednesday, June 1st, 2016",Donald Trump,"We’ve broken ""by millions"" the all-time record for votes in a GOP presidential primary election.
"
"on Tuesday, May 31st, 2016",Hillary Clinton,"""It was allowed,"" referring to her email practices.
"
"on Friday, May 27th, 2016",Wendy Davis,"""Texas is one of only a handful of states that does not have an equal pay law.""
"
"on Friday, May 27th, 2016",Ted Cruz,"Says Donald Trump ""has the second-highest disapproval ratings of anyone running for president.""
"
"on Friday, May 27th, 2016",Richard  Pan,"California’s Capitol building is ""second only to Disneyland,"" among visitor sites in the state.
"
"on Wednesday, May 25th, 2016",Donald Trump,"""There are places in America that are among the most dangerous in the world. You go to places like Oakland. Or Ferguson. The crime numbers are worse. Seriously.""
"
"on Tuesday, May 24th, 2016",Todd Wilcox,"""I can tell you that the enhanced interrogation techniques that have since been banned by this administration — specifically waterboarding — work.""
"
"on Sunday, May 22nd, 2016",Hillary Clinton,"""Let me say that I don't think (Bernie Sanders has) had a single negative ad ever run against him."" 
"
"on Friday, May 20th, 2016",Daniel Grace,"A three-cents-per-ounce soda tax in Philadelphia ""would result in the loss of 2,000 family-sustaining Teamster Union jobs and countless other jobs in the beverage industry.""

 
"
"on Friday, May 20th, 2016",Tom Marino,"""I have had to fill out FEC reports for the past six years now, and they’re much more detailed than a tax return...""
"
"on Wednesday, May 18th, 2016",Jeff Weaver,"Nevada Democratic Party leaders ""hijacked the process on the floor"" of the state convention ""ignoring the regular procedure and ramming through what they wanted to do.""
"
"on Monday, May 16th, 2016",Chris Sgro,"""We've already lost $500 million in economic impact"" from HB2 fallout in North Carolina.
"
"on Friday, May 13th, 2016",Fighting for Ohio  PAC,"Says Ted Strickland admits his record on jobs and taxes is ""mixed and spotty.""
"
"on Wednesday, May 11th, 2016",Donald Trump,"Says Hillary Clinton ""wants to abolish the Second Amendment.""
"
"on Wednesday, May 11th, 2016",Carlos Beruff,"Says President Obama’s deal ""allows Iran to produce a nuclear weapon.""
"
"on Wednesday, May 11th, 2016", Freedom Partners Action Fund,"""Russ Feingold got a memo in 2009 that outlined veteran harm"" at a Wisconsin VA facility ""and nothing was done.""
"
"on Wednesday, May 11th, 2016",Duf Sundheim,"""There is a 34 percent increase in violent crime in the state of California. … And that’s just within the last year.""
"
"on Monday, May 9th, 2016",Joe Biden,"""In the United States alone we lose more than 3,000 people a day to cancer.""
"
"on Monday, May 9th, 2016",Roy Blunt,"""Jason Kander supports [Obama’s] plan to bring the remaining suspected terrorists to U.S. soil.""
"
"on Sunday, May 8th, 2016",Donald Trump,"""You have to be a citizen to vote,"" but with same-day voter registration, ""you have places where people just walk in and vote.""
"
"on Sunday, May 8th, 2016",Donald Trump,"""We're the highest taxed nation in the world.""
"
"on Friday, May 6th, 2016",Sylvester Turner,"""We have been focusing so much, especially the Texas Department of Transportation, on that 97 percent of people in single-occupancy vehicles.""
"
"on Monday, May 2nd, 2016",Donald Trump,"""In the history of Republican primaries, I’ve gotten the most votes in the history of the Republican party.""
"
"on Saturday, April 30th, 2016",Ridesharing Works for Austin,"If Austin voters reject Proposition 1, a ""completely new City-run"" criminal background check ""process will cost millions in processing fees, additional staff, and bureaucracy"" with taxpayers getting ""the bill.""
"
"on Wednesday, April 27th, 2016",Donald Trump,"""ISIS is making millions of dollars a week selling Libyan oil.""
"
"on Wednesday, April 27th, 2016",Donald Trump,"""I was totally against the war in Iraq, saying for many years that it would destabilize the Middle East.""
"
"on Wednesday, April 27th, 2016",John Kirby,"Says President Barack Obama never said, ""No boots on the ground"" in Syria.
"
"on Friday, April 22nd, 2016", Unbreakable Kimmy Schmidt,"""Dolphins are rapists. Look it up.""
"
"on Thursday, April 21st, 2016",Pat McCrory,"The Human Rights Campaign is ""more powerful than the NRA.""
"
"on Thursday, April 21st, 2016",Steve Santarsiero,"""Steve Santarsiero wrote PA’s Gun Safety Law.""
"
"on Wednesday, April 20th, 2016",Donald Trump,"Says professional football coach Rex Ryan ""won championships in New York. The AFC, I think, twice.""
"
"on Tuesday, April 19th, 2016",Donald Trump,"The Colorado caucus system for selecting Republican delegates is ""rigged.""
"
"on Tuesday, April 19th, 2016",Corey Lewandowski,"""The chairman of the party of Florida, who is an avid and outward supporter of Marco Rubio, gets to appoint 30 of those delegates.""

 
"
"on Monday, April 18th, 2016",Donald Trump,"Says Jeb Bush and Marco Rubio ""had it set so that the winner takes everything, because they wanted to make sure that I didn't get anything"" in the Florida primary.

 
"
"on Monday, April 18th, 2016",Catherine Hanaway,"""We’re the worst state in the country at moving people from welfare to work.""
"
"on Thursday, April 14th, 2016",Jeff Bridges,"""Every bit of plastic that has ever been created still exists.""
"
"on Thursday, April 14th, 2016",Donald Trump,"""My numbers are better right now than Ronald Reagan's numbers were with Jimmy Carter.""
"
"on Wednesday, April 13th, 2016",Sylvester Turner,"""The Katy Freeway, or Interstate 10 west of Houston, is the widest freeway in the world, with up to 26 lanes, including frontage road lanes.""
"
"on Wednesday, April 13th, 2016",Tammy Baldwin,"""Hedge fund managers and others in private equity pay much lower (tax) rates on their income than do truck drivers and teachers and nurses.""
"
"on Tuesday, April 12th, 2016",Patrick Murphy,"Florida’s regulations on the payday lending industry are ""stronger than almost any other state.""

 
"
"on Monday, April 11th, 2016",Chris Larson,"""For the votes that we got, I think we spent, on average, two bucks a pop. Compared to 42 bucks"" for incumbent Milwaukee County Executive Chris Abele.
"
"on Friday, April 8th, 2016",Dan Forest,"Charlotte’s anti-discrimination ordinance would have ""opened all bathrooms to all sexes at all times"" if it hadn’t been overturned.
"
"on Friday, April 8th, 2016",Jack Graham,"""It’s clear"" that Hillary Clinton ""violated national security laws.""

 
"
"on Thursday, April 7th, 2016", Bloggers,"Say Bernie Sanders ""won Nevada after all.""
"
"on Wednesday, April 6th, 2016", New Day for America,"""Many just call him 'Lyin' Ted.' ... His TV ad about John Kasich? Lie! Stations had to pull it off the air.""
"
"on Wednesday, April 6th, 2016",Bernie Sanders,"Says his campaign has released his past tax returns.
"
"on Monday, April 4th, 2016", Trusted Leadership PAC,"""Millionaires working side by side with George Soros are bankrolling (John Kasich’s) super PAC.""

 
"
"on Monday, April 4th, 2016",John Whitbeck,"Supreme Court nominee Merrick Garland ""voted to uphold"" D.C.’s ban on handguns.
"
"on Friday, April 1st, 2016",Ted Strickland,"""It was (Rob Portman’s) job to stop China’s illegal dumping of steel. He failed, looked the other way, did nothing.""

 
"
"on Friday, April 1st, 2016",Chris Larson,"Says Chris Abele ""has had five years and he’s done nothing"" about the Estabrook Dam.
"
"on Thursday, March 31st, 2016",Donald Trump,"Says Ted Cruz distributed the ad showing a nude Melania Trump on a rug.

 
"
"on Wednesday, March 30th, 2016",Pat McCrory,"""We have not taken away any rights that have currently existed in any city in North Carolina"" with the passage of HB2.
"
"on Wednesday, March 30th, 2016",Donald Trump,"Wisconsin’s ""effective"" unemployment rate is 20 percent.
"
"on Tuesday, March 29th, 2016",Michael Roberson,"Nevada lawmakers ""permanently cut taxes for over 95 percent of Nevada’s businesses.""
"
"on Monday, March 28th, 2016",Grover Norquist,"Under Hillary Clinton, State Department ""officials were sending official thank-yous to people who gave to the Clinton Foundation.""
"
"on Sunday, March 27th, 2016",Coalition To Save  Memorial Hospital Birthing Center,"""This unit is the only one in the state that strives to implement the principles of Mother-Friendly care as outlined by the national Coalition for Improving Maternity Services Mother-Friendly Childbirth Initiative.""

 
"
"on Friday, March 25th, 2016",Rebecca Bradley,"Says her representation of an ex-boyfriend ""who was then my friend"" in a family law case is ""something that lawyers do on a regular basis.""
"
"on Thursday, March 24th, 2016",Donald Trump,"""When those restrictions expire (in the Iran nuclear deal), Iran will have an industrial-size military nuclear capability ready to go.""
"
"on Wednesday, March 23rd, 2016",Ted Cruz,"""Ukraine voluntarily gave up its nuclear weapons because the United States of America"" said it would ""ensure (its) territorial integrity from Russia.""

 
"
"on Tuesday, March 22nd, 2016",Raúl Castro,"Says there are no political prisoners in Cuba.
"
"on Tuesday, March 22nd, 2016",Mitch McConnell,"Says Senate Republicans are ""following a longstanding tradition of not filling vacancies on the Supreme Court in the middle of a presidential election year.""

 
"
"on Tuesday, March 22nd, 2016", Facebook posts,"Ted Cruz is in negotiations to be Donald Trump’s running mate.
"
"on Tuesday, March 22nd, 2016",Eric  Greitens,"""We have ten different tax brackets and if you’re making $9,000, you’re already in the top tax bracket.""
"
"on Monday, March 21st, 2016", Club for Growth,"Says Donald Trump promised ""to take care of everybody (through government-run healthcare and) the government's going to pay for it.""
"
"on Monday, March 21st, 2016",Donald Trump,"The Trump Winery near Charlottesville, Va. is the ""largest winery on the East Coast.""
"
"on Monday, March 21st, 2016",JoAnne Kloppenburg,"In the primary election, a ""right-wing group spent more than $100,000,000 to support"" Supreme Court Justice Rebecca Bradley.
"
"on Friday, March 18th, 2016",Bill O'Reilly,"Says Supreme Court nominee Merrick Garland ""voted, so the folks know, in Washington, D.C., to keep guns away from private citizens.""
"
"on Friday, March 18th, 2016",Chris Abele,"The Mitchell Park Domes ""lose about $1 million-plus every year"" and ""the number of people going to the Domes has been going down.""

 

 

 
"
"on Thursday, March 17th, 2016",Donald Trump,"Under the Iran nuclear deal, ""we give them $150 billion, we get nothing.""
"
"on Thursday, March 17th, 2016",John Kasich,"""You know what Truman said, ‘You want a friend in Washington, buy a dog.’ ""
"
"on Sunday, March 13th, 2016",Donald Trump,"Says the man who rushed the stage at him in Dayton, Ohio, ""had chatter about ISIS, or with ISIS"" in his social media posts.
"
"on Friday, March 11th, 2016",Donald Trump,"""GDP was zero essentially for the last two quarters.""
"
"on Thursday, March 10th, 2016",Donald Trump,"Common Core is ""education through Washington D.C.""
"
"on Thursday, March 10th, 2016",Jeff DeWit,"""Now we have ISIS coming over the (U.S.-Mexico) border.""
"
"on Thursday, March 10th, 2016",Hillary Clinton,"""The Clean Power Plan is something that Sen. Sanders has said he would delay implementing.""
"
"on Wednesday, March 9th, 2016", Keep the Promise 1 PAC,"Says Donald Trump said the government is going to pay for everybody to have health care.
"
"on Tuesday, March 8th, 2016",Jon  Keyser,"Says Michael Bennet wants to close Guantanamo Bay prison and bring terrorists ""right here to Colorado.""

 
"
"on Monday, March 7th, 2016",Bernie Sanders,"""When you're white ... you don't know what it's like to be poor.""
"
"on Friday, March 4th, 2016",Ken Paxton,"""Statistics show 2 to 3 Texas women per week have major complications and 10 women per week seek help at an ER after an abortion.""

 
"
"on Friday, March 4th, 2016",Paul Ryan,"""There is a precedent"" for not nominating someone to the U.S. Supreme Court ""in the middle of a presidential election.""
"
