statement_edition,statement_source,statement_text
"on Thursday, August 3rd, 2017", Bloggers,"""Hillary Clinton has third heart attack — docs says she ‘won’t survive’.""
"
"on Wednesday, August 2nd, 2017", US Daily News 24,"Says Debbie Wasserman Schultz ""going to mental hospital after what she did overnight desperate to escape arrest.""
"
"on Monday, July 31st, 2017",J.K. Rowling,"Says Donald Trump was seen ""looking deliberately over a disabled child's head, ignoring his outstretched hand.""
"
"on Friday, July 28th, 2017", Bloggers,"""Barack Obama tweets sick attack on John McCain, says he should have died.""
"
"on Wednesday, July 26th, 2017",Donald Trump,"Amazon has a ""no-tax monopoly.""
"
"on Wednesday, July 26th, 2017", Bloggers,"""Russian mansions Obama seized were meant to be illegal gifts to Sasha and Malia""
"
"on Monday, July 24th, 2017", Bloggers,"Say Gretchen Carlson said, ""The 2nd Amendment Was Written Before Guns Were Invented.""
"
"on Monday, July 24th, 2017", Bloggers,"Say Oscar Pistorius ""commits suicide in prison.""

 
"
"on Thursday, July 20th, 2017", Bloggers,"""Kim Jong Un dead: North Koreans calling Trump an assassin""
"
"on Tuesday, July 18th, 2017", Bloggers,"Shepard Smith was fired from Fox News.
"
"on Tuesday, July 18th, 2017", Bloggers,"""There was someone else on that plane for the secret Bill Clinton/Loretta Lynch meeting.""
"
"on Tuesday, July 18th, 2017", FreedomCrossroads.us,"""Malia Obama Fired From Cushy Internship At Spanish Embassy""
"
"on Monday, July 17th, 2017", HalfwayPost.com,"""White House chef quits because Trump has only eaten fast food for 6 months.""
"
"on Friday, July 14th, 2017",Uspoln Website,"Says former Rep. Michele Bachmann said that ""White People Have Suffered More In The Last 8 Years Than Blacks Did During Couple Years Of Slavery.""
"
"on Thursday, July 13th, 2017", Bloggers,"Says two of U.S. Rep. Nancy Pelosi’s daughters were arrested for smuggling drugs.
"
"on Wednesday, July 12th, 2017", Bloggers,"Says ""CNN host Fareed Zakaria calls for jihad rape of white women.""
"
"on Wednesday, July 12th, 2017", Bloggers,"""3,000-Pound Great White Shark Captured in Great Lakes.""
"
"on Tuesday, July 11th, 2017", Bloggers,"""Obama goes to G20 summit ...  Everywhere President Donald Trump goes, Obama shows up, too.""
"
"on Tuesday, July 11th, 2017", Newslo.com,"Says Paul Ryan said that 22 million Americans ""choose to be poor, so it’s their own problem if they can’t afford to be healthy.""
"
"on Monday, July 10th, 2017", FreedomCrossroads.us,"Says ""James Comey Has Been Having An Affair With"" Debbie Wasserman Schultz.
"
"on Thursday, July 6th, 2017", Bloggers,"Spicer: ""Trump has the legal right to cancel SCOTUS because they serve at his pleasure""
"
"on Thursday, July 6th, 2017", Channel24News.com,"Says the manager of a Checkers in Miami Gardens, Fla., killed 10 employees.
"
"on Thursday, July 6th, 2017", Bloggers,"Australia is microchipping its public.
"
"on Wednesday, July 5th, 2017",Pete Olson,"Says that Bill Clinton ""basically"" told then-Attorney General Loretta Lynch in 2016 that ""we killed Vince Foster.""
"
"on Wednesday, July 5th, 2017", StGeorgeGazette.com,"""Donald Trump plans to step down as President of the United States and resign from office within the next 30 days.""
"
"on Monday, July 3rd, 2017",Donald Trump,"CNN’s ratings are ""way down.""
"
"on Monday, July 3rd, 2017", Bloggers,"Minnesota imposed an Islamic anti-blasphemy law.
"
"on Friday, June 30th, 2017", Bloggers,"""Leonardo DiCaprio explains why he’s moving to Casselberry, Florida.""
"
"on Wednesday, June 28th, 2017", Snoopack.com,"""Trey Gowdy is the new director of the FBI!""
"
"on Tuesday, June 27th, 2017", Bloggers,"Says Johnny Depp died after being apprehended for threatening President Donald Trump’s life.
"
"on Monday, June 26th, 2017", FreedomCrossroads.us,"Says investigators have found remains of missing women in steel barrels buried on Bill and Hillary Clinton’s property.
"
"on Monday, June 26th, 2017", Bloggers,"""Massive Bumble Bee recall after 2 employees admit cooking a man and mixing him with a batch of tuna.""
"
"on Thursday, June 22nd, 2017", AntiNews.in,"""Chinese lunar rover finds no evidence of American moon landings.""
"
"on Wednesday, June 21st, 2017", Bloggers,"""Libtard hero Al Franken forced to resign in disgrace.""
"
"on Tuesday, June 20th, 2017", TheMiamiGazette.com,"""Cannibals arrested in Florida claim eating human flesh cures diabetes and depression""
"
"on Tuesday, June 20th, 2017", LondonWebNews.com,"Says Kellyanne Conway said liberal women hate her because of her ""striking beauty and intellect.""
"
"on Tuesday, June 20th, 2017", FreedomCrossroads.us,"""Nancy Pelosi suffers breakdown, taken from Capitol Hill on a stretcher.""
"
"on Monday, June 19th, 2017", Principled PAC,"""The same unhinged leftists cheering last week's shooting are all backing Jon Ossoff."" 
"
"on Monday, June 19th, 2017", Bloggers,"""Trump welcomes Jamaica as a U.S. territory""
"
"on Monday, June 19th, 2017",  Great America Alliance,"Says Barack Obama complained that Democrats continue to ignore blacks except at election time.

 
"
"on Friday, June 16th, 2017",  Infowars,"Says Loretta Lynch was part of ""a stunning collection of calls to violence and murder from the intolerant, unhinged leftists in the Democrat party.""

 
"
"on Thursday, June 15th, 2017", TeddyStick.com,"""Democrat Maxine Waters has shown up to only 10 percent of congressional meetings for 35 years.""
"
"on Wednesday, June 14th, 2017", Bloggers,"""NASA confirms Earth will experience 15 days of darkness In November 2017.""
"
"on Wednesday, June 14th, 2017", Bloggers,"""The DEA just raided a United States senator — Dems in a panic.""
"
"on Tuesday, June 13th, 2017", Bloggers,"Says Keanu Reeves gave a speech that began, ""I cannot be part of a world where men dress their wives as prostitutes by showing everything that should be cherished ...""
"
"on Monday, June 12th, 2017", AntiNews.in,"""Edward Snowden: Osama bin Laden is still alive living in the Bahamas.""
"
"on Friday, June 9th, 2017",Greg Gutfeld,"""Every single year that there's an increase (in temperature) it's within the margin of error -- meaning it isn't increasing.""
"
"on Wednesday, June 7th, 2017", Vet TV,"""Trump Removing Marines From the Navy.""
"
"on Wednesday, June 7th, 2017",Daily USA Update,"Says ""Scott Baio .. dies in small plane crash.""
"
"on Tuesday, June 6th, 2017",Uspoln Website,"""Trump’s Top Scientist Pick: ‘Scientists Are Just Dumb Regular People That Think Dinosaurs Existed And The Earth Is Getting Warmer’""
"
"on Tuesday, June 6th, 2017", Bloggers,"Says ""Monica Lewinsky Found Dead"" in a burglary.
"
"on Thursday, June 1st, 2017",Uspoln Website,"""Rubio: ‘Rape victims should be in custody if there is suspicion that they’re planning abortion.’ ""
"
"on Wednesday, May 31st, 2017",Uspoln Website,"Says Pat Robertson said, ""We must impose a rule on the gay population that would require them to wear specially-colored clothes.""
"
"on Wednesday, May 31st, 2017", Bloggers,"President Trump greenlighted Congress to ramp up Clinton investigation.
"
"on Tuesday, May 30th, 2017", Bloggers,"California Gov. Jerry Brown was ""Caught in the Middle of a $60 Billion Corruption Investigation.""
"
"on Tuesday, May 30th, 2017", Bloggers,"President Donald Trump ""announced that he would reinstate a national day of remembrance for fallen officers that the traitor before him had done away with.""
"
"on Friday, May 26th, 2017", Bloggers,"Says U.S. Rep. Trey Gowdy’s 8-year-old son found dead ""in a dumpster in D.C.""
"
"on Friday, May 26th, 2017", PatriotCrier.com,"""(James) Comey knew murdered DNC staffer, Seth Rich, was WikiLeaks source & covered it up for Hillary (Clinton).""
"
"on Wednesday, May 24th, 2017", Bloggers,"""NASA will pay you $18,000 to stay in bed and smoke weed for 70 straight days.""
"
"on Tuesday, May 23rd, 2017", TheRedShtick.com,"""Donald Trump praises Colonel Sanders for his service in the Civil War.""
"
"on Tuesday, May 23rd, 2017",Newt Gingrich,"Democratic National Committee staffer Seth Rich ""apparently was assassinated at 4 in the morning, having given WikiLeaks something like 53,000 emails and 17,000 attachments. ... It turns out, it wasn’t the Russians.""
"
"on Tuesday, May 23rd, 2017",Dan Patrick,"Says Texas tax legislation would ""save the average homeowner in Texas $20,000 a year over the next 20 years or so.""
"
"on Friday, May 19th, 2017",Brad Schimel,"There is no ‘backlog’ of untested rape kits in Wisconsin. 
"
"on Thursday, May 18th, 2017",Greg Abbott,"Says Travis County Sheriff Sally Hernandez ""declared that she would not detain known criminals accused of violent crimes.""

 
"
"on Thursday, May 18th, 2017", TDAlliance.com,"""Jefferson Davis statue to be replaced with Obama likeness.""
"
"on Wednesday, May 17th, 2017", Bloggers,"""FBI uncovers evidence that 62 million Trump voters are all Russian agents!""
"
"on Wednesday, May 17th, 2017", Bloggers,"""Barack Obama arrested in a Japanese drug bust.""
"
"on Monday, May 15th, 2017", Bloggers,"Say Lance Armstrong is dead.
"
"on Monday, May 15th, 2017", Bloggers,"""Fox star Tucker Carlson in critical condition (then died) after head on collision driving home.""
"
"on Friday, May 12th, 2017", Bloggers,"""Clinton Foundation cargo ship raided at Port of Baltimore"" caught smuggling 460 undocumented immigrants.
"
"on Friday, May 12th, 2017",Donald Trump,"""This Russia thing with Trump and Russia is a made-up story. It's an excuse by the Democrats for having lost an election that they should've won.""

 
"
"on Thursday, May 11th, 2017",Paul Ryan,"""We got to a point that our Air Force pilots were going to museums to find spare parts over the last eight years"" under Barack Obama.
"
"on Wednesday, May 10th, 2017", Bloggers,"A University of Texas ""student pulled out a concealed handgun"" on a knife-wielding suspect ""and made him back down.""
"
"on Tuesday, May 9th, 2017", Bloggers,"""Clinton Foundation ordered to cease operations – Chelsea (Clinton) charged with fraud!""
"
"on Monday, May 8th, 2017", Starbucks,"""Coffee is the second-most traded commodity after oil.""
"
"on Monday, May 8th, 2017", Bloggers,"""Malia Obama arrested with a gang of thugs in Chicago.""
"
"on Monday, May 8th, 2017",Raul Labrador,"""Nobody dies because they don’t have access to health care.""
"
"on Friday, May 5th, 2017", Bloggers,"""Bill O’Reilly in critical condition after being attacked by ‘tolerant’ liberals.""
"
"on Monday, May 1st, 2017", Bloggers,"""Ted Nugent killed in hunting accident.""
"
"on Monday, May 1st, 2017", Bloggers,"""Sarah Palin in a coma after hit and run.""
"
"on Friday, April 28th, 2017", Bloggers,"""Trump warns Russia over Jehovah’s Witnesses ban and urges members to seek asylum in the U.S.""
"
"on Thursday, April 27th, 2017", Bloggers,"""Donald Trump to issue an executive order to ban Facebook across U.S.""
"
"on Wednesday, April 26th, 2017", Bloggers,"""Trump wants to deport American Indians to India.""
"
"on Tuesday, April 25th, 2017", DemocraticMoms.com,"Says Eric Trump said, ""My father’s tax return is irrelevant because we’re going to cancel taxes for WEALTHY people anyway.""
"
"on Friday, April 21st, 2017", Bloggers,"""Fox News Sandra Smith: ‘Everybody could see from the United Airlines passenger’s behavior that he was not a genuine American.’ ""
"
"on Friday, April 21st, 2017", RealNewsRightNow.com,"""Trump on revamping the military: We’re bringing back the draft.""
"
"on Friday, April 21st, 2017",Wawa  Welcome America,"""The Wawa Welcome America festival (features) . . . America's largest free concert.""
"
"on Wednesday, April 19th, 2017",Maxine Waters,"""I have not called for impeachment"" of President Donald Trump.
"
"on Wednesday, April 19th, 2017", Bloggers,"""Malia Obama expelled from Harvard.""
"
"on Tuesday, April 18th, 2017", Now8News.com,"""United Airlines flight attendant slaps crying baby during flight.""
"
"on Tuesday, April 18th, 2017", Bloggers,"""Tampa man loses testicles after trying to 'fill scuba tank with weed smoke.'""
"
"on Monday, April 17th, 2017", Bloggers,"""Texas law enforcement officer fatally shot upon arriving for work by 3 Muslim refugee.""
"
"on Friday, April 14th, 2017", Bloggers,"Says President Barack Obama ""tax audit exposes MILLIONS in offshore accounts stolen from taxpayers.""
"
"on Thursday, April 13th, 2017", Bloggers,"Said Vin Diesel declared his love of Rockford, Ill., after locals provided him car help and hospitality.
"
"on Thursday, April 13th, 2017", Bloggers,"Says Ohio Gov. John Kasich said, ""If a woman is not intelligent enough to keep her legs closed, how can we entrust the abortion decision to her?""
"
"on Wednesday, April 12th, 2017",Michael Kearns,"There were ""76 deaths in three years"" at the Buffalo Psychiatric Center
"
"on Wednesday, April 12th, 2017",Donald Trump,"Before the presidential campaign, ""I didn't know Steve (Bannon).""
"
"on Tuesday, April 11th, 2017", Bloggers,"""Evangelical leader says those who oppose Trump could be ‘punished’ with gay child.""
"
"on Tuesday, April 11th, 2017",Sean Spicer,"Says Adolf Hitler ""didn't even sink to the level of using chemical weapons. ... He was not using the gas on his own people the same way that (Bashar al-)Assad is doing.""

 
"
"on Friday, April 7th, 2017", Bloggers,"""Two liberal Democrat congressmen arrested for planning Trump’s assassination.""
"
"on Thursday, April 6th, 2017", Bloggers,"""Police find 19 white female bodies in freezers with ‘Black Lives Matter’ carved into skin.""
"
"on Wednesday, April 5th, 2017",Brian Sims,"""Finally, I will continue to fight against Republicans like Martina White, who like Trump, wants to deport all of our hard working immigrant brothers and sisters and white wash America.""
"
"on Tuesday, April 4th, 2017", Bloggers,"""Doctors who discovered cancer enzymes in vaccines all found murdered.""
"
"on Monday, April 3rd, 2017", Bloggers,"""Autopsy results from Vince Foster’s exhumed body — Cause of death to be changed!""
"
"on Sunday, April 2nd, 2017", Bloggers,"""Muslims get their way--Illinois will permit wearing burqas in driving licenses photos""
"
"on Sunday, April 2nd, 2017", Bloggers,"""NBC just fired Megyn Kelly before her new show begins.""
"
"on Sunday, April 2nd, 2017", EmpireSports.co,"""Colorado Rockies baseball team to sell marijuana brownies at their concession stands.""
"
"on Sunday, April 2nd, 2017", Bloggers,"Says extras are needed to portray aliens in a Star Wars movie being shot near Rosenberg, Texas.
"
"on Sunday, April 2nd, 2017", Bloggers,"""A New York man has allegedly infected 240 people with the HIV virus by sleeping with men and women.""
"
"on Sunday, April 2nd, 2017", Bloggers,"""New regulation requires motorcycle owners to install 75 MPH governor by January 2017""
"
"on Sunday, April 2nd, 2017", Bloggers,"""The Notebook is finally getting a sequel. Producers of the upcoming film confirmed .... that filming will begin in Jacksonville, North Carolina this summer.""
"
"on Sunday, April 2nd, 2017", Bloggers,"""BREAKING: Nancy Pelosi Was Just Taken From Her Office In Handcuffs""
"
"on Sunday, April 2nd, 2017", Bloggers,"""President Trump just told Paul Ryan, ‘You’re fired.’""
"
"on Friday, March 31st, 2017", Bloggers,"""Ken Starr’s plane just disappeared on his way to D.C. to testify against Hillary (Clinton).""
"
"on Friday, March 24th, 2017", Ax The Bev Tax,"""We offer a tremendous amount of low calorie, no calorie options, like waters, unsweetened products, low calorie diet items. All of which unfortunately are taxed by this tax.""
"
"on Thursday, March 23rd, 2017", Bloggers,"Says ""Snoop Dogg arrested for conspiracy after talking about his ‘murder Trump’ video.""
"
"on Thursday, March 23rd, 2017", Bloggers,"Says ""(Barack) Obama’s mother-in-law charged with larceny and fraud.""
"
"on Tuesday, March 21st, 2017", Bloggers,"Says U.S. Health and Human Services Secretary Tom Price said, ""It’s better for our budget if cancer patients die more quickly.""
"
"on Tuesday, March 14th, 2017",Mike Kelly,"He’s only there for one purpose and one purpose only, and that is to run a shadow government that is gonna totally upset the new agenda.
"
"on Monday, March 13th, 2017", Bloggers,"""Babysitter on crystal meth eats 3-month-old baby.""

 
"
"on Monday, March 13th, 2017", Bloggers,"""FBI issues Warrant For Obama’s Arrest After Confirming Illegal Trump Tower Wiretap.""
"
"on Thursday, March 9th, 2017",Bruce Rauner,"Says he presented ""a balanced budget.""
"
"on Thursday, March 9th, 2017", Bloggers,"A photo shows ""Obama being dragged before a judge in handcuffs for wiretapping Trump.""
"
"on Tuesday, March 7th, 2017", UndergroundNewsReport.com,"Says Whoopi Goldberg said the widow of a Navy SEAL was ""looking for attention.""
"
"on Tuesday, March 7th, 2017", Resistance Report,"Says U.S. Sen. Ron Johnson ""threatens citizens with arrest if they continue asking for a town hall.""
"
"on Monday, March 6th, 2017", UndergroundNewsReport.com,"""Man pardoned by Obama three months ago arrested for murder.""
"
"on Monday, March 6th, 2017", Bloggers,"Says former president Jimmy Carter said, ""Medical marijuana cured my cancer.""
"
"on Monday, March 6th, 2017", Bloggers,"""300,000 pounds of rat meat sold as chicken wings across America.""
"
"on Friday, March 3rd, 2017", TheSeattleTribune.com,"""Trump’s Android device believed to be source of recent White House leaks.""
"
"on Thursday, March 2nd, 2017", Bloggers,"Says White House adviser Steve Bannon said, ""Nobody can blame you for beating your wife if it’s out of love.""
"
"on Thursday, March 2nd, 2017", BlackInsuranceNews.com,"Says former NRA president Jim Porter said, ""It’s only a matter of time before we can own colored people again.""
"
"on Tuesday, February 28th, 2017", Bloggers,"""Trump just gave every working, legal man, woman and child in the USA $612 each!""
"
"on Friday, February 24th, 2017", Bloggers,"""Starbucks just placed Trump’s photo on (the) floor so every customer (has) to step on it.""
"
"on Friday, February 24th, 2017",Sean Duffy,"""Abortion providers like Planned Parenthood do little other than provide abortions.""
"
"on Thursday, February 23rd, 2017", Bloggers,"""Target to discontinue sale of Holy Bible.""
"
"on Thursday, February 23rd, 2017", Bloggers,"""Japanese whaling crew eaten alive by killer whales, 16 dead.""
"
"on Wednesday, February 22nd, 2017", Bloggers,"John Hagee calls for ""prosecuting women who say God’s name during intercourse.""
"
"on Monday, February 20th, 2017", Bloggers,"Says ""Hillary Clinton filed for divorce In New York courts.""
"
"on Thursday, February 16th, 2017",Dan Forest,"""If Governor Cooper's proposed bill for repealing HB2 becomes law, it will create a state-sanctioned 'Look But Don't Touch' policy in our bathrooms.""
"
"on Wednesday, February 15th, 2017", Bloggers,"Says Bill Gates tweeted, ""I think Donald Trump will go down to history as one of the greatest presidents, just like Reagan.""
"
"on Wednesday, February 15th, 2017", Liberal Blogger,"Says a Republican U.S. House member from Texas, Rob McCaskill, tweeted that he ""can’t wait for the next 9/11.""
"
"on Tuesday, February 14th, 2017", Bloggers,"Says there is a ""new law now charging all protesters with terrorism.""
"
"on Monday, February 13th, 2017", TheSeattleTribune.com,"""Idaho mother sentenced to prison after multiple citations for breastfeeding in public.""
"
"on Sunday, February 12th, 2017",Stephen  Miller,"""This issue of busing voters in to New Hampshire is widely known by anyone who’s worked in New Hampshire politics. It’s very real, it’s very serious.""
"
"on Thursday, February 9th, 2017", Bloggers,"Says ""President Trump makes English the official language of the United States!""
"
"on Thursday, February 9th, 2017", True Pundit,"Says a video shows ""Coretta Scott King thanking Jeff Sessions for Rosa Parks library.""
"
"on Thursday, February 9th, 2017", Bloggers,"Says President Donald Trump ""signs a visa-free travel policy"" for Ghana and Malawi.

 
"
"on Tuesday, February 7th, 2017", Bloggers,"Says President Donald Trump’s ""executive order leads to capture of ISIS leader, Rasheed Muhammad.""
"
"on Monday, February 6th, 2017",Donald Trump,"Terrorism and terrorist attacks in the United States and Europe have ""gotten to a point where it's not even being reported.""
"
"on Monday, February 6th, 2017", CNNews3.com,"The HIV virus has been ""detected in Walmart bananas after 10 year old boy contracts the virus.""
"
"on Friday, February 3rd, 2017", Bloggers,"Says former President Barack Obama ""will be on new $1 dollar bill.""
"
"on Thursday, February 2nd, 2017", Bloggers,"Says Mike Pence said that ""allowing rape victims to have abortions will lead to women trying to get raped.""
"
"on Tuesday, January 31st, 2017", Bloggers,"Says ""Meryl Streep just got fired from a major project for lying about Trump.""
"
"on Friday, January 27th, 2017",Charles Schumer,"Says Rex ""Tillerson won't divest from Exxon.""
"
"on Friday, January 27th, 2017", Bloggers,"Says Barack ""Obama orders life-sized bronze statue of himself to be permanently installed in White House.""
"
"on Thursday, January 26th, 2017",Whoopi  Goldberg,"Says Barack Obama ""didn’t do executive orders in the beginning."" 
"
"on Wednesday, January 25th, 2017", Bloggers,"Say George Soros's money ""went straight into the (Women’s March) protesters’ pockets.""
"
"on Saturday, January 21st, 2017",Sean Spicer,"""That was the largest audience to witness an inauguration, period.""
"
"on Tuesday, January 17th, 2017",John Lewis,"The inauguration of Donald Trump ""will be the first one that I miss since I've been in Congress.""
"
"on Friday, January 13th, 2017", Bloggers,"Says ""Justice Ruth Bader Ginsburg is resigning from the post of associate justice of the Supreme Court.""
"
"on Wednesday, January 11th, 2017", Bloggers,"""Chinese restaurant in Coral Springs, Fla., busted for selling dog meat to VIP customers.""
"
"on Tuesday, January 10th, 2017", Bloggers,"Says Donald Trump warned outgoing Ghana President against last-minute job appointments.
"
"on Tuesday, January 10th, 2017", Bloggers,"Say first grandma Marian Robinson will get a $160,000 annual pension for life when President Barack Obama leaves office.
"
"on Friday, January 6th, 2017", Bloggers,"Says a celebrity praises locals for their help after an automotive breakdown.
"
"on Thursday, January 5th, 2017", USA Snich,"""Pope Francis To Followers: 'Koran And Holy Bible Are The Same' ""
"
"on Wednesday, January 4th, 2017", TheNewYorkEvening.com,"""Donald Trump dead from a fatal heart attack!""
"
"on Wednesday, January 4th, 2017",Travis Allen,"""Beginning on Jan. 1, prostitution by minors will be legal in California.""
"
"on Tuesday, January 3rd, 2017", UniversePolitics.com,"""Electoral College elector commits suicide to avoid voting for Donald Trump.""
"
"on Friday, December 30th, 2016", BuzzFeedUSA.com,"""Breaking: Crew of Air Force One Refuses to Fly Obama 6000 miles ‘Just to Play Golf’ ""
"
"on Tuesday, December 27th, 2016", NewsExaminer.net,"""Secret Service Agent Says Obama Is Muslim & Gay In New Tell-All Book""
"
"on Tuesday, December 27th, 2016",Larry Pratt,"Says President Barack Obama ""has not condemned"" shootings targeting police.
"
"on Friday, December 23rd, 2016", Today News 24,"""Pennsylvania Federal Court grants legal authority to remove Trump after Russian Meddling.""
"
"on Friday, December 23rd, 2016", Tdtalliance.com,"""Obama orders ban on Christmas cards to military.""
"
"on Friday, December 23rd, 2016",Paul Ryan,"""Because of Obamacare, Medicare is going broke.""
"
"on Wednesday, December 21st, 2016",If You Only News,"""Emboldened by election, Texas Republicans kill Medicaid funding for kids with disabilities.""
"
"on Wednesday, December 21st, 2016", Politicono.com,"""Sarah Palin Calls To Boycott Mall Of America Because ‘Santa Was Always White In The Bible.’""
"
"on Wednesday, December 21st, 2016","Ron Castorina, Jr.","""It is more difficult to obtain a Costco membership than it is to get a NYC Municipal ID""
"
"on Tuesday, December 20th, 2016", Politicono.com,"""Pence: ‘Michelle Obama Is The Most Vulgar First Lady We’ve Ever Had’""
"
"on Tuesday, December 20th, 2016", Bloggers,"Say Bill Gates is linked to HPV vaccine related deaths in India.
"
"on Thursday, December 15th, 2016",Donald Trump,"""If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?""
"
"on Thursday, December 15th, 2016", Freedom Daily,"""Obama-Led U.N. Has Just Made It Official, U.S. To Immediately Pay Blacks 'Reparations'.""

 
"
"on Wednesday, December 14th, 2016", Bloggers,"""House Democrats strike to implement Sharia law!!""
"
"on Friday, December 9th, 2016",Sean Duffy,"Wisconsin has only one county, Dane, ""that's hand counting the votes"" in the 2016 presidential recount.

 
"
"on Monday, December 5th, 2016", Bloggers,"Latina who enthusiastically supported Donald Trump on stage in Las Vegas in October 2015 has been deported.
"
"on Friday, December 2nd, 2016",Sheri Gallo,"Alison Alter ""got an F in attendance in 2016"" as an Austin parks board member ""and was removed by a unanimous vote of the Austin City Council.""
"
"on Thursday, December 1st, 2016", Bloggers,"Lady Gaga announced she would cover her face ""until Trump gets fired from office.""
"
"on Tuesday, November 29th, 2016",Jill Stein,"""Wisconsin uses voting machines that are outlawed, they are illegal.""

 
"
"on Tuesday, November 29th, 2016",Donald Trump,"There was ""serious voter fraud"" in Virginia. 
"
"on Monday, November 28th, 2016",Donald Trump,"There was ""serious voter fraud"" in New Hampshire.
"
"on Monday, November 28th, 2016",Donald Trump,"There was ""serious voter fraud"" in California.
"
"on Monday, November 28th, 2016",Donald Trump,"Says he ""won the popular vote if you deduct the millions of people who voted illegally.""
"
"on Tuesday, November 22nd, 2016", Bloggers,"Harambe received 15,000 votes in the presidential election.

 
"
"on Thursday, November 17th, 2016", Bloggers,"""Donald Trump Protester Speaks Out: 'I Was Paid $3,500 To Protest Trump's Rally.' ""
"
"on Wednesday, November 16th, 2016", AmericanPoliticNews,"Says Denzel Washington supports Donald Trump and speaks out against Barack Obama.
"
"on Tuesday, November 15th, 2016", Political Insider,"A picture shows former President Bill Clinton naked with another woman.
"
"on Monday, November 14th, 2016", Bloggers,"""Final election 2016 numbers: Trump won"" the popular vote.
"
"on Monday, November 14th, 2016",Pat Robertson,"Margaret Sanger ""wanted a black Christian leader to be like a Judas goat and lead the blacks to genocide. Remember that? And they picked Martin Luther King as their spokesman.""
"
"on Friday, November 11th, 2016",Louis Marinelli,"""Two years ago, the longest serving leader of the California republic, Jerry Brown, boldly declared in China that California is a separate nation.""
"
"on Wednesday, November 9th, 2016",Social  Media,"Says ""thousands"" at a Manhattan rally for Donald Trump were chanting ""We hate Muslims, we hate blacks, we want our great country back.""
"
"on Sunday, November 6th, 2016",Donald Trump,"Says that at a campaign rally President Barack Obama ""spent so much time screaming at a protester, and frankly it was a disgrace.""
"
"on Saturday, November 5th, 2016",Chris Sununu,"""The Democrats are very sly. … (in New Hampshire) we have same day voter registration, and to be honest, when Massachusetts elections are not very close, they’re busing them in all over the place.""
"
"on Friday, November 4th, 2016", Conservative Daily Post,"""FBI confirms evidence of huge underground Clinton sex network.""
"
"on Tuesday, November 1st, 2016", Bloggers,"""Tens of thousands of fraudulent Clinton votes found in Ohio warehouse.""
"
"on Monday, October 31st, 2016",Sean Duffy,"""One of George Soros' companies has provided some of the (voting) machines"" for some states.

 
"
"on Monday, October 31st, 2016",Donald Trump,"Says Hillary Clinton ""wants to let people just pour in. You could have 650 million people pour in and we do nothing about it. Think of it. That’s what could happen. You triple the size of our country in one week.""
"
"on Monday, October 31st, 2016",Roger Stone,"Says Hillary Clinton ""shows up in Broward County"" and had a private meeting with elections supervisor Brenda Snipes.
"
"on Friday, October 28th, 2016",Chris Malone,"Says Democratic challenger for his N.C. House seat ""raised taxes on clothing, school supplies – even baby diapers!""
"
"on Wednesday, October 26th, 2016",John Rafferty,"""Recently though, the media has reported on thousands of illegal voters here in the commonwealth.""
"
"on Tuesday, October 25th, 2016",Donald Trump,"""Wikileaks also shows how John Podesta rigged the polls by oversampling Democrats, a voter suppression technique.""
"
"on Thursday, October 20th, 2016", Progress Texas,"""Donald Trump's education plan to dramatically slash funding for public education would fire 49,000 Texas teachers.""
"
"on Thursday, October 20th, 2016",Donald Trump,"When Hillary Clinton ""ran the State Department, $6 billion was missing. How do you miss $6 billion? You ran the State Department, $6 billion was either stolen — they don't know.""
"
"on Wednesday, October 19th, 2016", Colorado Citizens for Accountable Government,"""When Rachel Zenzinger was on the Arvada City Council, she voted to spend taxpayer funds for a junket to China.""
"
"on Wednesday, October 19th, 2016",Donald Trump,"""It’s possible that non-citizen voters were responsible for Obama’s 2008 victory in North Carolina.""
"
"on Wednesday, October 19th, 2016",Social  Media,"Creflo Dollar has endorsed Republican Donald Trump for president.
"
"on Tuesday, October 18th, 2016",Hillary Clinton,"""Back in the Great Recession, when millions of  jobs across America hung in the balance, Donald Trump said rescuing the auto industry didn’t really matter very much. He said, and I quote again, ‘Let it go.’ ""
 
"
"on Tuesday, October 18th, 2016",Marco Rubio,"""Not even Tim Kaine is willing"" to say he trusts Hillary Clinton. 
"
"on Monday, October 17th, 2016",Donald Trump,"""Of course, there is large scale voter fraud happening on and before election day.""
"
"on Friday, October 14th, 2016",Donald Trump,"""We don't have any"" chess grandmasters in the United States.
"
"on Thursday, October 13th, 2016",Katherine  Cloonen,"""Lindsay Parkhurst wants to take away programs like Social Security and Medicare that seniors have earned throughout their lifetimes.""
"
"on Wednesday, October 12th, 2016",Donald Trump,"Says he won the second debate with Hillary Clinton ""in a landslide"" in ""every poll.""
"
"on Sunday, October 9th, 2016",Donald Trump,"Says a tweet he sent out ""wasn’t saying, ‘check out a sex tape.’ It was just ‘take a look at"" the background of Alicia Machado.
"
"on Friday, October 7th, 2016",Rush Limbaugh,"Says ""11 straight years of no major hurricanes striking land"" in the United States ""bores a hole right through the whole climate change argument.""

 
"
"on Wednesday, September 28th, 2016", Bloggers,"Say photographs of Hillary Clinton at the debate show what could be an earpiece.
"
"on Thursday, September 22nd, 2016",Donald Trump,"""Our African-American communities are absolutely in the worst shape they've ever been in before. Ever. Ever. Ever.""
"
